GEOID,hhinc,less_than_hs,hs,some_college,college_deg,grad_deg,over_25,single_parent,own_occ,oth_lang,children,rent_burdened,white,black,indig,asian,othrace,multi,ltnx,gini,unemp,povrate,cpovrate
34017006200,50625,435,995,615,330,145,2520,68.65979381443299,30.343897505057317,41.46064222790565,970,17.329737019554955,5.6,41.7,0,10.8,4.7,4.2,32.9,0.4561,3.39,24.6,43
34017980100,NA,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34017000700,62697,363,466,377,595,391,2192,26.812816188870155,22.32630757220921,61.53846153846154,593,23.575331772053083,28.6,4,0,25.2,0.6,1.8,39.8,0.4581,1.09,13.1,13.3
34017001900,75139,153,137,149,481,404,1324,7.246376811594203,13.842482100238662,69.04761904761905,138,10.859188544152746,14.3,8.2,0.9,70.2,0,1.1,5.3,0.4754,2.32,23.3,17.4
34017003100,75455,416,643,664,1307,1210,4240,4.981549815498155,16.32145816072908,59.00383141762452,1084,13.256006628003314,24.5,16.3,0,34.3,0,1.3,23.6,0.4816,4.29,23.6,23.7
34017004300,55979,226,474,326,444,195,1665,61.224489795918366,28.35209825997953,43.08907415533129,539,16.99078812691914,18.2,29.6,0,4.9,0.2,4.9,42.2,0.4764,6.82,12.3,20.8
34017004400,20990,382,493,276,302,130,1583,60.6430155210643,27.714285714285715,28.454231433506045,902,24.952380952380953,2.3,67.1,0,3.1,1,1.3,25.3,0.5455,16.02,45.6,50.9
34017005400,91146,183,873,1009,1618,1096,4779,16.30695443645084,62.54932912391475,62.8188117352204,2085,7.892659826361484,10.8,28.6,0,37.8,0,3,19.8,0.4251,3.06,8.5,9.5
34017002700,56964,840,1021,567,846,372,3646,45.983787767133386,34.85016648168702,54.97042549131845,1357,13.984461709211987,16.9,15.7,0.7,34.2,0,2.8,29.7,0.5053,5.13,17.9,29.9
34017001201,65500,166,150,187,631,355,1489,51.90677966101694,24.462365591397848,71.53171738009283,472,16.263440860215052,10,3.4,0.4,49.7,0.5,6,30,0.4159,2.8,20.3,36.9
