tract,hh_inc,less_than_hs,hs,some_college,college_grad,grad_school,ed_attain,sing_par,own_occ,oth_lang,performance_score,numb_school_child,hh_inc_comp,ed_attain_comp,sing_par_comp,own_occ_comp,oth_lang_comp,performance_score_comp,combined_score,tier
101,67778,378,586,840,961,592,65,64,23,24,46.33,899,61,72,22,8,59,32,42,2
102.01,44722,863,1068,1066,837,492,56,37,38,38,46.98,1348,28,51,48,37,46,35,41,2
102.02,53333,380,367,501,415,239,58,39,29,51,46.48,475,44,56,46,14,35,33,38,2
103,65364,523,1238,1075,909,912,62,21,35,29,46.48,929,59,67,77,30,54,33,53,3
104,58482,76,241,542,1059,703,76,38,26,15,49.15,413,50,85,48,10,69,46,51,3
105.01,51500,117,495,710,913,682,71,26,21,35,48.37,682,40,79,68,6,50,43,48,2
105.02,43258,103,196,539,647,402,71,55,23,28,49.91,442,24,80,28,7,55,50,41,2
105.03,55300,228,305,290,230,264,60,47,17,38,49.83,155,46,63,36,2,46,50,40,2
106,78214,345,615,1037,1388,937,69,18,33,34,49.25,1005,69,78,81,27,50,47,58,3
107.01,66691,340,624,451,665,541,63,34,47,44,52.81,795,60,70,53,59,41,61,57,3
107.02,47439,761,469,567,908,609,61,34,31,57,48.28,1095,34,64,53,20,31,43,41,2
201,62885,458,556,520,841,304,60,11,47,51,56.26,767,56,62,91,59,35,70,62,3
202,78594,654,575,1069,1201,1036,66,14,76,47,57.54,1245,69,73,87,91,38,74,72,4
203.01,74213,325,536,532,1169,656,68,14,78,43,57.57,985,67,76,88,92,42,75,73,4
203.02,91786,267,573,579,1006,596,67,22,59,36,56.04,807,74,75,76,77,48,69,70,4
204,73587,433,621,432,813,618,64,27,52,46,56.26,794,66,71,65,68,39,70,63,3
205,46051,1129,931,657,922,438,53,34,31,70,54.79,1145,31,44,53,21,21,66,39,2
206.01,51250,664,934,714,960,747,61,27,40,65,56.14,1334,39,65,67,45,25,70,52,3
206.02,52275,450,604,636,746,514,62,33,46,60,53.57,816,41,67,56,58,28,62,52,3
207.01,109314,79,232,312,306,297,68,19,65,38,63.4,287,82,76,79,83,46,88,76,4
207.02,50395,855,1149,1080,1114,394,56,24,40,72,54.92,1257,37,52,72,43,19,66,48,3
208.01,60610,920,771,874,650,508,55,31,43,57,63.4,943,53,49,59,50,30,88,55,3
208.02,51830,738,1236,944,954,448,56,40,35,68,52.02,1305,41,53,46,31,22,58,42,2
209.01,44631,615,833,774,826,495,59,30,37,70,54.67,1048,28,60,61,36,20,65,45,2
209.02,40183,671,907,669,533,233,52,29,57,64,54.17,652,22,40,64,76,25,64,48,3
301.01,63846,189,654,579,896,571,67,38,38,46,54.73,481,57,74,47,39,39,65,54,3
301.02,67500,64,238,663,910,419,72,24,43,33,54.73,385,61,81,72,52,51,65,64,3
301.03,61429,45,73,295,514,395,77,31,29,33,54.73,150,54,86,59,16,51,65,55,3
301.04,74375,172,250,386,535,394,68,64,35,43,54.73,125,67,76,21,30,41,65,50,3
302,111797,255,320,794,1016,1157,74,15,51,14,54.97,838,82,83,85,67,70,66,76,4
303,45000,349,690,464,609,238,57,34,33,58,54.17,579,29,56,54,25,30,64,43,2
304,62381,212,174,397,702,447,70,44,42,43,56.23,483,55,79,38,48,42,70,55,3
305,96218,565,654,709,1350,1219,69,32,40,31,55.91,1046,76,77,58,44,53,69,63,3
306.01,45429,471,574,448,739,605,63,39,37,54,54.73,498,29,70,46,35,33,65,46,2
306.03,43578,76,418,316,400,361,67,53,12,44,54.73,357,25,75,29,1,40,65,39,2
306.04,61550,123,253,698,743,493,71,3,29,44,54.73,345,54,79,97,14,41,65,59,3
307.01,60625,162,193,297,382,203,64,46,22,38,55.12,221,53,71,37,7,46,67,47,2
307.02,100000,34,83,192,519,302,77,0,60,42,55.12,167,78,86,100,79,43,67,75,4
307.03,54688,359,164,648,732,523,67,55,31,30,55.12,417,45,75,28,20,53,67,48,3
307.06,56167,262,480,347,906,517,67,0,36,39,55.12,396,47,75,100,33,45,67,61,3
308,124792,253,450,203,1129,1412,77,5,43,19,56.23,708,85,87,97,52,64,70,76,4
309,131024,177,205,429,829,596,73,9,43,35,60.35,545,87,82,92,52,49,84,74,4
310,93906,131,293,397,879,723,75,25,39,34,56.77,593,75,84,70,42,50,72,65,3
311,105445,344,363,511,1341,577,69,28,30,29,56.35,706,80,78,65,18,55,71,61,3
312,46476,868,911,634,1450,633,60,44,23,48,55.74,859,31,63,38,7,37,68,41,2
313,52400,480,794,1134,1467,997,67,47,37,43,55.93,1016,42,75,36,36,41,69,50,3
314,117257,182,199,555,1590,1380,79,0,59,18,59.55,569,83,89,100,77,65,79,82,4
315.01,29400,587,611,622,705,403,58,36,19,53,59.55,600,5,58,49,4,33,79,38,2
315.02,39269,394,737,855,1087,386,62,61,19,44,59.55,812,21,67,23,4,40,79,39,2
317,100100,318,1075,999,1647,1000,68,47,36,26,48.61,1155,78,76,35,32,58,44,54,3
318,122222,56,120,222,555,385,76,0,42,18,61.69,370,84,85,100,49,65,86,78,4
319,129851,113,176,156,717,368,74,23,39,20,63.34,400,86,83,74,41,63,88,72,4
321,96149,271,811,1157,2197,1185,71,31,28,44,59.55,1078,76,81,59,12,40,79,58,3
401,114489,230,281,457,905,641,72,15,44,27,63.16,664,83,81,86,54,56,87,75,4
402.01,84474,411,458,920,1732,722,69,23,39,40,64.52,1114,72,77,75,39,44,89,66,3
402.02,52579,556,1330,1151,1350,685,61,31,38,59,63.81,1242,43,65,60,38,29,88,54,3
403,101635,208,293,476,626,479,68,59,60,50,64,501,78,77,25,79,36,88,64,3
404.01,114511,125,226,224,823,530,75,10,49,30,61.82,577,83,84,92,63,53,86,77,4
404.02,138529,62,335,401,1251,1135,79,17,34,19,57.55,914,88,89,83,29,65,74,71,4
406,105263,42,116,160,768,528,80,10,28,22,59.11,452,80,90,91,13,61,78,69,4
407,108160,159,135,375,1030,517,75,22,43,20,67.08,606,81,84,75,52,63,91,74,4
408,108796,107,96,211,390,316,73,24,42,16,67.08,257,81,82,72,48,67,91,74,4
409,138462,34,40,198,676,457,81,10,32,11,62.05,367,87,91,91,21,74,86,75,4
501,148134,111,63,179,545,479,78,15,36,13,69.26,413,90,87,84,32,72,94,77,4
502,144800,200,348,542,1368,739,73,15,45,14,72.18,1031,89,82,86,56,69,97,80,4
503,103500,163,171,318,656,406,71,18,50,30,70.03,513,79,80,81,65,54,95,75,4
505,168043,133,183,324,1554,1122,80,9,46,9,70.11,1069,94,90,92,57,77,95,84,4
506,176481,0,107,163,781,462,81,3,51,8,71.7,441,96,91,97,66,78,96,88,4
507,162745,27,50,88,364,360,82,9,63,3,72.91,279,93,94,93,82,90,98,91,4
508,206140,13,54,99,372,244,80,13,48,17,71.13,298,100,90,88,60,67,96,83,4
509,123162,38,75,205,387,250,75,24,39,22,70.6,302,85,85,72,40,62,95,73,4
510,156250,81,75,149,443,316,76,23,48,21,71.13,365,92,85,74,62,63,96,79,4
511,176645,62,54,101,437,386,80,6,45,18,71.13,377,96,90,96,56,66,96,83,4
512,162500,42,13,109,529,342,82,21,41,5,66.87,330,93,92,77,47,84,91,81,4
513,171134,15,108,173,792,629,82,13,66,9,61.91,697,95,94,88,84,77,86,87,4
514,152885,49,112,190,658,345,77,20,51,19,61.66,433,90,86,78,68,64,86,79,4
601,142092,67,103,231,699,580,79,30,50,13,68.36,535,88,89,61,65,71,93,78,4
602,131250,90,113,191,694,421,76,27,33,25,63.34,398,87,86,66,24,58,88,68,4
603,174740,29,131,253,998,621,80,9,48,7,73.84,603,96,90,93,61,82,99,87,4
604,180870,24,125,143,1083,728,83,14,42,7,73.11,722,98,94,87,49,80,98,84,4
605,142578,157,170,118,245,201,64,42,26,26,73.03,228,88,70,41,10,57,98,61,3
608,113750,23,169,494,1766,1175,82,23,53,23,59.8,648,83,92,73,69,61,80,76,4
609,83929,175,366,944,2221,1498,77,0,43,29,62.17,937,71,86,100,50,55,87,75,4
610,141429,0,53,112,672,402,83,0,35,17,60.97,261,88,95,100,30,67,85,77,4
611,142969,5,36,93,590,359,83,0,35,13,70.76,226,88,95,100,31,72,95,80,4
612,147011,11,36,133,781,432,83,9,34,6,73.03,331,90,95,93,28,83,98,81,4
615,151316,29,36,176,608,348,80,0,34,10,73.97,298,90,90,100,28,77,99,81,4
618,109211,5,20,138,379,203,80,16,22,19,67.39,128,81,90,84,6,65,92,70,4
619.01,112682,30,135,226,1173,1023,83,10,32,29,67.39,538,82,96,91,22,55,92,73,4
619.02,106707,30,351,520,1354,995,78,11,34,22,67.39,571,80,87,90,29,61,92,73,4
620,156250,1,93,127,925,428,81,11,30,13,67.39,349,92,91,91,17,72,92,76,4
621,122984,65,112,271,1202,568,79,4,30,15,67.39,457,85,88,97,17,67,92,74,4
622,167344,21,98,104,907,541,82,0,45,7,67.39,448,94,94,100,56,80,92,86,4
623,230723,5,12,64,498,428,86,8,40,8,73.91,309,100,99,94,45,80,99,86,4
624,163000,36,54,75,465,391,82,15,45,12,73.37,292,93,93,86,57,73,99,84,4
625,168519,5,22,105,513,431,85,16,47,7,73.59,290,95,98,84,60,82,99,86,4
626,182451,27,18,117,688,572,85,9,59,17,71.98,564,98,98,93,77,67,97,88,4
627,186894,49,51,179,697,566,82,3,42,11,71.86,405,99,92,97,48,75,96,85,4
628,181363,34,76,221,1286,822,83,6,42,13,71.22,660,98,95,96,50,71,96,84,4
629,172890,14,70,290,1356,855,83,24,40,7,71.91,680,95,95,71,44,82,96,81,4
630,182031,25,66,191,1016,722,83,29,30,17,74.4,464,98,95,64,18,66,99,74,4
631,142029,18,87,148,683,552,82,16,31,14,67.39,364,88,94,84,19,70,92,75,4
632,141781,92,200,639,1887,1659,82,0,32,13,67.39,838,88,92,100,22,72,92,78,4
633.01,121795,49,99,291,716,482,78,0,18,19,67.39,347,84,87,100,3,64,92,72,4
633.02,129508,0,94,236,1409,1153,85,0,35,22,67.39,612,86,98,100,32,62,92,78,4
633.03,145000,15,73,107,310,275,79,0,56,15,67.39,95,89,89,100,73,68,92,85,4
634,163214,10,31,143,769,447,83,5,32,14,72.86,320,93,95,96,22,70,98,79,4
701.01,119737,17,149,245,1268,1111,84,27,41,23,74.01,504,84,96,67,47,60,99,75,4
