GEOID,hhinc,less_than_hs,hs,some_college,college_deg,grad_deg,over_25,single_parent,own_occ,oth_lang,children,rent_burdened,white,black,indig,asian,othrace,multi,ltnx,gini,unemp,povrate,cpovrate,ed_attain
34017006200,50625,435,995,615,330,145,2520,68.66,30.34,41.46,970,17.33,5.6,41.7,0,10.8,4.7,4.2,32.9,0.46,3.39,24.6,43,50.12
34017000700,62697,363,466,377,595,391,2192,26.81,22.33,61.54,593,23.58,28.6,4,0,25.2,0.6,1.8,39.8,0.46,1.09,13.1,13.3,61.69
34017001900,75139,153,137,149,481,404,1324,7.25,13.84,69.05,138,10.86,14.3,8.2,0.9,70.2,0,1.1,5.3,0.48,2.32,23.3,17.4,72.78
34017003100,75455,416,643,664,1307,1210,4240,4.98,16.32,59,1084,13.26,24.5,16.3,0,34.3,0,1.3,23.6,0.48,4.29,23.6,23.7,70.62
34017004300,55979,226,474,326,444,195,1665,61.22,28.35,43.09,539,16.99,18.2,29.6,0,4.9,0.2,4.9,42.2,0.48,6.82,12.3,20.8,58.89
34017004400,20990,382,493,276,302,130,1583,60.64,27.71,28.45,902,24.95,2.3,67.1,0,3.1,1,1.3,25.3,0.55,16.02,45.6,50.9,51.22
34017005400,91146,183,873,1009,1618,1096,4779,16.31,62.55,62.82,2085,7.89,10.8,28.6,0,37.8,0,3,19.8,0.43,3.06,8.5,9.5,70.76
34017002700,56964,840,1021,567,846,372,3646,45.98,34.85,54.97,1357,13.98,16.9,15.7,0.7,34.2,0,2.8,29.7,0.51,5.13,17.9,29.9,53.91
34017001201,65500,166,150,187,631,355,1489,51.91,24.46,71.53,472,16.26,10,3.4,0.4,49.7,0.5,6,30,0.42,2.8,20.3,36.9,71.54
34017002400,147850,37,144,245,862,779,2067,7.3,42.81,28.07,452,11.13,60.3,7.9,0.5,14.1,0.4,4,12.7,0.38,2.62,3.7,0,81.31
34017003500,88906,167,176,238,681,345,1607,20.37,32.9,49,427,10.7,42.9,4.2,0,7.1,0,2.6,43.2,0.54,2.78,13.8,17.3,70.72
34017004102,39524,462,695,368,327,295,2147,31.62,23.77,35.69,623,19.75,12.4,55.2,0,5.1,0.8,5,21.6,0.51,14.09,18,12.4,53.46
34017005500,35833,350,647,353,225,79,1654,53.68,28.44,30.31,924,24.52,7.2,70.1,0,2.2,0,0,20.5,0.49,12.04,35.7,49.1,48.34
34017005801,34550,518,1301,937,306,200,3262,63.57,25.88,42.09,1529,13.49,3.4,51.2,0,1.9,0,1.3,42.2,0.51,8.95,25.9,31.3,50
