GEOID,hhinc,less_than_hs,hs,some_college,college_deg,grad_deg,single_parent,own_occ,oth_lang,children,ed_attain,hhinc_pct,ed_attain_pct,single_parent_pct,own_occ_pct,oth_lang_pct,pct_children,overall_ses_score,quartile
34017006200,50625,435,995,615,330,145,68.7,30.3,41.5,970,50.1,33.1,20.7,1.8,56.6,75.5,25,37.5,1
34017000700,62697,363,466,377,595,391,26.8,22.3,61.5,593,61.7,57.9,66.3,59.6,26.1,27.1,43.5,47.4,2
34017001900,75139,153,137,149,481,404,7.2,13.8,69,138,72.8,72.8,88.8,87.8,6.4,14.2,61.9,54,3
34017003100,75455,416,643,664,1307,1210,5,16.3,59,1084,70.6,74.8,83,93.2,10.2,37.6,70.8,59.8,3
34017004300,55979,226,474,326,444,195,61.2,28.4,43.1,539,58.9,42.2,49.7,9.7,46.5,64.9,32,42.6,2
34017004400,20990,382,493,276,302,130,60.6,27.7,28.5,902,51.2,1.7,22.3,11.4,45.5,96.8,17.2,35.6,1
34017005400,91146,183,873,1009,1618,1096,16.3,62.5,62.8,2085,70.8,87.2,87.6,80.6,99.3,25.5,94.2,76.1,4
34017002700,56964,840,1021,567,846,372,46,34.9,55,1357,53.9,44.7,36,26,69.4,49.7,35.3,45.2,2
34017001201,65500,166,150,187,631,355,51.9,24.5,71.5,472,71.5,62.4,88.5,19.9,32.8,12.3,32.8,43.2,2
34017002400,147850,37,144,245,862,779,7.3,42.8,28.1,452,81.3,93.2,94,87.5,82.9,97.7,100,91.1,4
34017003500,88906,167,176,238,681,345,20.4,32.9,49,427,70.7,83.4,83.8,72.3,64.1,56.4,87.7,72,4
34017004102,39524,462,695,368,327,295,31.6,23.8,35.7,623,53.5,14.7,29.9,49.4,29.8,86.4,31,42,2
34017005500,35833,350,647,353,225,79,53.7,28.4,30.3,924,48.3,9.9,5.2,18.5,48.2,94.8,15.5,35.3,1
34017005801,34550,518,1301,937,306,200,63.6,25.9,42.1,1529,50,8.1,18.9,4.6,38.8,73.7,7.9,28.8,1
34017005802,152813,25,63,138,456,549,10.9,67.2,43.1,404,83.4,95.7,94.8,86.7,100,65.6,97.8,88.6,4
34017006100,60304,741,2149,1210,623,159,25.2,53,40.5,1600,49,50.7,12.4,65.8,95.3,82.3,82.6,61.3,4
34017001400,76429,495,656,577,801,350,20.7,20.8,57,861,59,79.1,51.3,71.5,24.4,46.2,63.5,54.5,3
34017002200,106250,62,166,159,774,329,20.7,40.7,28.8,198,75.3,88.1,89.1,69.9,79.7,95.2,97.1,84.4,4
34017000200,39895,607,907,675,856,411,15.5,19.3,76.2,1279,57.4,17,45.5,83,12.5,3.9,11.5,32.4,1
34017000600,63339,585,1061,741,771,797,4.1,26.9,65.9,1028,60.7,61.5,61.9,95.1,43.9,18.6,67.7,56.2,3
34017001300,82607,305,452,553,520,279,34.2,33.1,56.1,562,60.2,82.6,55.4,42.1,65.1,47.2,68.8,58.5,3
34017002800,58750,642,845,864,1126,556,5.7,20.4,59.6,861,60.5,47.7,60,89.4,20.4,35.6,49.8,50.6,2
34017004200,42574,517,1010,866,757,135,43.8,24.5,42.5,1689,53.8,21.4,33.5,29.1,36,68.8,28.1,37.7,2
34017004700,61827,203,584,226,526,393,30,24,44.6,370,63.3,51.4,69.9,50.9,30.5,61.7,57.6,52.9,3
34017000100,70969,724,1200,541,1233,644,27.1,44.6,72.8,1231,59.4,68,54.4,58.5,86.8,10.9,65.8,55.7,3
34017000500,73322,369,699,719,609,320,36.2,34,74.3,951,58.6,72.5,48.7,41.1,66.9,6.8,42.4,47.2,2
34017002900,51936,218,475,463,815,554,22.1,29.6,60.7,660,68,34.3,79.4,68.1,51.8,32.1,61,53.2,3
34017004000,75976,457,1438,727,1254,236,38.2,43.6,63.9,901,57,77.5,37.7,36.3,84.6,20.2,51.5,51.2,3
34017006000,45464,395,1054,954,196,128,62.2,26.4,32.1,956,49.8,27.4,14.1,8.7,40.6,91.2,21.2,36.4,1
34017000400,62750,404,515,478,747,341,18.5,49.8,71.4,912,60.9,59.6,63.6,74,89.4,13.9,73.5,60.1,3
34017001100,72476,347,784,915,1002,485,28.3,38.2,59.8,1054,62.8,70.8,68.2,56.2,75.6,34,79.7,61,4
34017001701,62148,289,689,567,876,454,28.6,29.4,60.7,1283,63.6,53.8,72.3,54.2,50.6,30.8,56.9,52.3,3
34017006400,118125,106,239,334,838,916,13.8,26.8,33.3,348,78.2,91.8,93.2,86,41.9,88.9,96.1,80.4,4
34017006500,71394,157,230,368,463,348,39.7,34.9,38.4,461,67.9,68.8,78.2,34.6,70.2,85.2,84.4,67.4,4
34017000902,70223,658,693,688,1499,990,26.5,23.2,66.9,929,66.5,65.7,77.3,61.3,28.7,16.7,48.2,49.9,2
34017006600,99091,88,168,111,446,168,2.4,52.6,72.6,286,68.9,87.8,80,96.1,92.4,11.4,90.3,73.5,4
34017006700,21865,317,792,418,218,40,51.7,12.4,48.8,1119,47.4,3.8,3.5,22,6.1,58.4,3.5,18.8,1
34017006800,46133,471,908,606,273,111,60.6,30,40.8,1065,48.6,31.3,7.2,13.4,54.8,78.5,23.2,37,1
34017006900,NA,0,13,8,16,7,59.1,59.1,52.2,22,67.7,0,77.4,13.4,95.4,49.8,42.4,47.2,2
34017007000,115227,455,596,505,1287,1019,15.4,19.6,41.1,544,69.4,91.2,81,84,13.5,76.5,85.4,69.2,4
34017007100,69318,226,395,454,812,362,1.3,22.7,49.4,471,66.1,63.2,75.6,100,27,51.7,83.5,63.5,4
34017007200,167045,173,175,184,739,657,1.3,49.2,40.7,456,75.9,97.1,90,99.1,87.7,79.4,99.2,90.7,4
34017007300,160714,28,13,159,1266,1146,1.6,22.1,35.3,311,86.7,96.3,96.6,98.3,25,88.3,96.7,80.9,4
34017007400,182881,35,229,217,1896,1881,14.9,20.2,35.4,712,85.2,98.4,96.1,85.3,17.2,87.7,95.5,76.9,4
34017007500,110927,195,583,521,1830,1752,17.2,20.5,40.3,1095,77.9,90.2,92,76.7,22.4,84.4,89.8,73.1,4
34017007600,191691,67,200,400,2604,4032,2.4,20.3,58.1,845,88.3,100,98.2,97.7,18.8,40,86.9,70.9,4
34017007700,149127,47,213,301,2336,4211,5.1,15.4,73.9,963,89.4,94.9,100,91.2,8.1,8.6,75.2,60.6,3
34017007800,53125,222,323,156,630,308,53.2,1,44.9,316,65.8,34.9,74.7,19.1,0.6,61,29.8,38.1,2
34017005600,55125,416,1014,565,582,118,32.7,40.6,42.3,1148,52.4,38.5,28.8,47.8,79.3,70.9,59.7,53,3
34017004101,62618,662,1065,738,1085,700,36.2,31.4,57,1634,60.5,56.8,58.4,39.3,61.9,44.6,54.5,52.2,3
34017004500,36026,618,1047,693,309,188,41.9,30.5,43.3,1199,48.8,12.1,9.4,33.8,58.8,63.9,19.4,35.6,1
34017005300,44052,379,799,518,242,138,57.4,41.4,30.6,1017,50,25.6,16,16.8,81.6,93.1,39.2,46.6,2
34017002000,55625,448,566,362,1152,592,23.7,7.8,74.5,607,65.6,41.2,74.1,66.9,1.7,5,29.2,37.8,2
34017003000,40060,311,515,372,540,253,31.5,9.6,58.9,426,59.1,17.8,52.1,50.2,2.5,38.4,9.1,32.2,1
34017005900,80534,1053,1264,1153,1661,476,43,51.1,49.2,1328,57.3,81.5,43.1,31.5,91.8,55.6,77.7,60.7,4
34017006300,45625,517,1230,714,360,277,34.1,34.9,46,1052,51.3,29.3,24.3,44.1,72.2,60.4,37.3,46.1,2
34017005200,42817,456,956,580,507,146,62.4,19.8,27.4,1259,51.9,23.7,26.6,7,15.9,100,13.8,34.6,1
34017004600,39129,531,548,332,214,113,49.2,24.2,63.3,768,46.5,13.5,1.4,23.4,32,21.7,1.4,18.4,1
34017004800,55519,385,966,466,768,274,32.8,39.9,58,850,57.1,40,39.3,45.7,77.2,41.6,46.5,48.7,2
34017004900,58550,238,1034,602,700,259,57.8,35.9,49.2,782,57.9,46.1,46.9,14.9,73.6,53.1,40.6,46.9,2
34017000300,54638,479,680,607,622,318,21,32.6,61.5,757,57.2,36.3,40.7,69.5,63.3,28.5,44.9,47.7,2
34017000800,75648,317,686,479,769,487,30,29.9,52.1,540,63.1,75.8,69.2,51.9,52.8,50.8,71.8,60.1,3
34017001000,69375,176,349,256,519,231,17.4,26.6,67.7,391,63.7,64,73,74.7,41.3,14.9,61.7,53.6,3
34017001800,33162,418,683,389,790,427,26.2,10.5,80.6,822,60.9,5.3,65.2,62.8,4,1.5,5,27.8,1
34017001202,41875,238,214,197,227,79,32.5,20.6,62.4,240,53.6,18.3,30.4,48.2,22.8,26,8.3,29.1,1
34017002300,127904,134,148,254,833,751,3.3,41.8,33,273,78.1,92.3,92.5,95.6,82.1,89.4,98.3,90.4,4
