input,name,address,lat,long
"275 Custer Avenue 228, Jersey City, New Jersey 07305",275 Custer Ave,"275 Custer Ave, Jersey City, NJ 07305, USA",40.6955955,-74.1014336
"275 Custer Avenue 228, Jersey City, New Jersey 07305",228 Custer Ave,"228 Custer Ave, Jersey City, NJ 07305, USA",40.6943488,-74.1000877
"10 Huron Avenue, Jersey City, New Jersey 07306",10 Huron Ave,"10 Huron Ave, Jersey City, NJ 07306, USA",40.7361598,-74.0617647
"2127 JFK Blvd, Jersey City, New Jersey 07305",2127 John F. Kennedy Blvd,"2127 John F. Kennedy Blvd, Jersey City, NJ 07305, USA",40.7116192,-74.0846162
"225 St. Paul's Ave  14F, Jersey City, New Jersey 07306",225 St Pauls Ave #14f,"225 St Pauls Ave #14f, Jersey City, NJ 07306, USA",40.73719639999999,-74.0611563
"132 Tuers Avenue, Jersey City, New Jersey 07306",132 Tuers Ave,"132 Tuers Ave, Jersey City, NJ 07306, USA",40.72904399999999,-74.063993
"151 St. Paul's Ave 1, Jersey City, New Jersey 07306",151 St Pauls Ave,"151 St Pauls Ave, Jersey City, NJ 07306, USA",40.7368058,-74.0578153
"151 St. Paul's Ave 1, Jersey City, New Jersey 07306",1 St Pauls Ave,"1 St Pauls Ave, Jersey City, NJ 07306, USA",40.733475,-74.0510583
"268-270 Claremont Ave, Jersey City, New Jersey 07305",268 Claremont Ave,"268 Claremont Ave, Jersey City, NJ 07305, USA",40.71247229999999,-74.0845014
"10 Huron Ave  Apt 2D, Jersey City, New Jersey 07306",10 Huron Ave #2d,"10 Huron Ave #2d, Jersey City, NJ 07306, USA",40.7361598,-74.0617647
"3458 JFK BLVD, Jersey City, New Jersey 07307",3458 John F. Kennedy Blvd,"3458 John F. Kennedy Blvd, Jersey City, NJ 07307, USA",40.7501815,-74.0542074
"201 9th Street, Jersey City, New Jersey 07302",201 9th St,"201 9th St, Jersey City, NJ 07302, USA",40.7280035,-74.0422562
"291 Centra Avel  Apt C2, Jersey City, New Jersey 07307",NA,NA,NA,NA
"61 Broadman Parkway, Jersey City, New Jersey 07305",61 Broadman Pkwy,"61 Broadman Pkwy, Jersey City, NJ 07305, USA",40.7124988,-74.088184
