input,name,address,lat,long
"291 Centra Avel, Jersey City, New Jersey 07307",Family Pharmacy,"291 Central Ave, Jersey City, NJ 07307, United States",40.7450033,-74.05022
"4 beacon Way, Jersey City, New Jersey 07304",4 Beacon Way,"4 Beacon Way, Jersey City, NJ 07304, USA",40.7225561,-74.063971
"45 River Drive South, Jersey City, New Jersey 07310",The James Monroe,"The James Monroe, 45 River Dr S, Jersey City, NJ 07310, USA",40.728265,-74.033484
"50 Walls Ave, Jersey City, New Jersey 07306",Canco Lofts Condominium Center,"50 Dey St, Jersey City, NJ 07306, United States",40.7378142,-74.06651200000002
"324 Union Ave, Jersey City, New Jersey 07305",NA,NA,NA,NA
"42 BEACON AVE, Jersey City, New Jersey 07306",42 Beacon Ave,"42 Beacon Ave, Jersey City, NJ 07306, USA",40.735616,-74.05183579999999
"14 ROMAINE AVE, Jersey City, New Jersey 07306",14 Romaine Ave,"14 Romaine Ave, Jersey City, NJ 07306, USA",40.730163,-74.07045099999999
"425 MANILA AVE, Jersey City, New Jersey 07302",425 Manila Ave,"425 Manila Ave, Jersey City, NJ 07302, USA",40.7242451,-74.04258949999999
"35 HIGHLAND AVE, Jersey City, New Jersey 07306",35 Highland Ave,"35 Highland Ave, Jersey City, NJ 07306, USA",40.727545,-74.06891999999999
"45 River Drive South, Jersey City, New Jersey 07310",The James Monroe,"The James Monroe, 45 River Dr S, Jersey City, NJ 07310, USA",40.728265,-74.033484
"45 River Drive South, Jersey City, New Jersey 07310",The James Monroe,"The James Monroe, 45 River Dr S, Jersey City, NJ 07310, USA",40.728265,-74.033484
"72  Corbin Ave., Jersey City, New Jersey 07306",72 Corbin Ave,"72 Corbin Ave, Jersey City, NJ 07306, USA",40.7328165,-74.0709294
"700 Newark Ave,, Jersey City, New Jersey 07306",700 Newark Ave,"700 Newark Ave, Jersey City, NJ 07306, USA",40.7354243,-74.0612536
"92 COLUMBIA AVE, Jersey City, New Jersey 07307",92 Columbia Ave,"92 Columbia Ave, Jersey City, NJ 07307, USA",40.75101919999999,-74.05491239999999
"115 BEACH ST, Jersey City, New Jersey 07307",115 Beach St,"115 Beach St, Jersey City, NJ 07307, USA",40.7450517,-74.0597098
"318 WEBSTER AVE, Jersey City, New Jersey 07307",318 Webster Ave,"318 Webster Ave, Jersey City, NJ 07307, USA",40.7492075,-74.042791
"146 MANHATTAN AVE, Jersey City, New Jersey 07307",146 Manhattan Ave,"146 Manhattan Ave, Jersey City, NJ 07307, USA",40.74451730000001,-74.055052
"164 HUTTIN ST, Jersey City, New Jersey 07307",164 Hutton St,"164 Hutton St, Jersey City, NJ 07307, USA",40.7460106,-74.0530277
"123 COLUMBIA AVE, Jersey City, New Jersey 07307",123 Columbia Ave,"123 Columbia Ave, Jersey City, NJ 07307, USA",40.752383,-74.0544092
"266 NORTH ST, Jersey City, New Jersey 07307",266 North St,"266 North St, Jersey City, NJ 07307, USA",40.7557538,-74.0528356
"232 GRANT AVE, Jersey City, New Jersey 07305",232 Grant Ave,"232 Grant Ave, Jersey City, NJ 07305, USA",40.71270519999999,-74.0862911
"100 Dudley St., Jersey City, New Jersey 07302",100 Dudley St,"100 Dudley St, Jersey City, NJ 07302, USA",40.7127236,-74.0391348
"9177427707, Jersey City, New Jersey 07302",SILVERMAN,"201 Montgomery St Suite 261, Jersey City, NJ 07302, United States",40.7174116,-74.0440291
"125 Warner Ave., Jersey City, New Jersey 07305",125 Warner Ave,"125 Warner Ave, Jersey City, NJ 07305, USA",40.7014225,-74.0908812
"124 St. Paul's Ave., Jersey City, New Jersey 07306",124 St Pauls Ave,"124 St Pauls Ave, Jersey City, NJ 07306, USA",40.7364979,-74.0563756
"27 Charlton Ave, Jersey City, New Jersey 07307",NA,NA,NA,NA
"620 PAVONIA AVE, Jersey City, New Jersey 07306",620 Pavonia Ave,"620 Pavonia Ave, Jersey City, NJ 07306, USA",40.7330779,-74.06129179999999
"461 WAYNE ST, Jersey City, New Jersey 07306",461 Wayne St,"461 Wayne St, Jersey City, NJ 07306, USA",40.7256009,-74.06386189999999
"199 BELVIDEVE AVE, Jersey City, New Jersey 07306",199 Belvidere Ave,"199 Belvidere Ave, Jersey City, NJ 07306, USA",40.7285428,-74.07895359999999
"322 SUMMITH AVE, Jersey City, New Jersey 07306",322 Summit Ave,"322 Summit Ave, Jersey City, NJ 07306, USA",40.7263248,-74.0637464
"242 ACADEMY ST, Jersey City, New Jersey 07306",242 Academy St,"242 Academy St, Jersey City, NJ 07306, USA",40.7285753,-74.0644126
"22 DALES AVE, Jersey City, New Jersey 07306",22 Dales Ave,"22 Dales Ave, Jersey City, NJ 07306, USA",40.734884,-74.076404
"311 SUMMIT AVE, Jersey City, New Jersey 07306",311 Summit Ave,"311 Summit Ave, Jersey City, NJ 07306, USA",40.7261758,-74.06430929999999
"46 VROOM ST, Jersey City, New Jersey 07306",46 Vroom St,"46 Vroom St, Jersey City, NJ 07306, USA",40.7266756,-74.0635406
"350 WAGNE ST, Jersey City, New Jersey 07302",350 Wayne St,"350 Wayne St, Jersey City, NJ 07302, USA",40.723793,-74.058301
"486 CENTRAL AVE, Jersey City, New Jersey 07307",486 Central Ave,"486 Central Ave, Jersey City, NJ 07307, USA",40.7512592,-74.0454117
"290 SUMMIT AVE, Jersey City, New Jersey 07306",290 Summit Ave,"290 Summit Ave, Jersey City, NJ 07306, USA",40.7250607,-74.0644126
"13 ROCK ST, Jersey City, New Jersey 07306",13 Rock St,"13 Rock St, Jersey City, NJ 07306, USA",40.7274097,-74.06210639999999
"2732 JFK BLVD, Jersey City, New Jersey 07306",2732 John F. Kennedy Blvd,"2732 John F. Kennedy Blvd, Jersey City, NJ 07306, USA",40.7293776,-74.06900190000002
"43 GRANT AVE, Jersey City, New Jersey 07305",43 Grant Ave,"43 Grant Ave, Jersey City, NJ 07305, USA",40.7080628,-74.0794651
"75 Fairview Ave, Jersey City, New Jersey 07304",75 Fairview Ave,"75 Fairview Ave, Jersey City, NJ 07304, USA",40.7230877,-74.071916
"26 BROADWAY AVE, Jersey City, New Jersey 07306",26 Broadway,"26 Broadway, Jersey City, NJ 07306, USA",40.735394,-74.0682719
"269 Cambridge Ave,, Jersey City, New Jersey 07307",269 Cambridge Ave,"269 Cambridge Ave, Jersey City, NJ 07307, USA",40.751969,-74.04473899999999
"98 Pearsall Ave,, Jersey City, New Jersey 07305",98 Pearsall Ave,"98 Pearsall Ave, Jersey City, NJ 07305, USA",40.693352,-74.092484
"72 Webster Ave.,, Jersey City, New Jersey 07307",72 Webster Ave,"72 Webster Ave, Jersey City, NJ 07307, USA",40.7409348,-74.0480279
"115 Bowers St, Jersey City, New Jersey 07307",115 Bowers St,"115 Bowers St, Jersey City, NJ 07307, USA",40.7469899,-74.04798199999999
"122 Cambridge Ave,, Jersey City, New Jersey 07307",122 Cambridge Ave,"122 Cambridge Ave, Jersey City, NJ 07307, USA",40.7468609,-74.0474196
"80 Hutton St.,, Jersey City, New Jersey 07307",80 Hutton St,"80 Hutton St, Jersey City, NJ 07307, USA",40.744398,-74.04903759999999
"142 Hancock Ave,, Jersey City, New Jersey 07307",142 Hancock Ave,"142 Hancock Ave, Jersey City, NJ 07307, USA",40.7473287,-74.04600839999999
"489 Palisade Ave.,, Jersey City, New Jersey 07307",489 Palisade Ave,"489 Palisade Ave, Jersey City, NJ 07307, USA",40.7453306,-74.04373369999999
"509 Palisade Ave, Jersey City, New Jersey 07307",509 Palisade Ave,"509 Palisade Ave, Jersey City, NJ 07307, USA",40.7460036,-74.0432682
"573 Central Ave,, Jersey City, New Jersey 07307",573 Central Ave,"573 Central Ave, Jersey City, NJ 07307, USA",40.7542942,-74.04394300000001
