GEOID,hhinc,less_than_hs,hs,some_college,college_deg,grad_deg,single_parent,own_occ,oth_lang,children
34017006200,50625,435,995,615,330,145,68.65979381443299,30.343897505057317,41.46064222790565,970
34017980100,NA,0,0,0,0,0,NA,NA,NA,0
34017000700,62697,363,466,377,595,391,26.812816188870155,22.32630757220921,61.53846153846154,593
34017001900,75139,153,137,149,481,404,7.246376811594203,13.842482100238662,69.04761904761905,138
34017003100,75455,416,643,664,1307,1210,4.981549815498155,16.32145816072908,59.00383141762452,1084
34017004300,55979,226,474,326,444,195,61.224489795918366,28.35209825997953,43.08907415533129,539
34017004400,20990,382,493,276,302,130,60.6430155210643,27.714285714285715,28.454231433506045,902
34017005400,91146,183,873,1009,1618,1096,16.30695443645084,62.54932912391475,62.8188117352204,2085
34017002700,56964,840,1021,567,846,372,45.983787767133386,34.85016648168702,54.97042549131845,1357
34017001201,65500,166,150,187,631,355,51.90677966101694,24.462365591397848,71.53171738009283,472
34017002400,147850,37,144,245,862,779,7.300884955752212,42.81072298943948,28.068705488060324,452
34017003500,88906,167,176,238,681,345,20.374707259953162,32.89606458123108,49.00054024851432,427
34017004102,39524,462,695,368,327,295,31.621187800963078,23.770491803278688,35.68652849740933,623
34017005500,35833,350,647,353,225,79,53.67965367965368,28.43551797040169,30.307576894223555,924
34017005801,34550,518,1301,937,306,200,63.570961412688035,25.87926509186352,42.08725406330196,1529
34017005802,152813,25,63,138,456,549,10.891089108910892,67.17451523545706,43.073878627968334,404
34017006100,60304,741,2149,1210,623,159,25.25,52.98068849706129,40.51319648093842,1600
34017001400,76429,495,656,577,801,350,20.673635307781648,20.80965909090909,56.953290870488324,861
34017002200,106250,62,166,159,774,329,20.707070707070706,40.691192865105904,28.778718258766627,198
34017000200,39895,607,907,675,856,411,15.480844409695074,19.254079254079254,76.20950778291964,1279
34017000600,63339,585,1061,741,771,797,4.085603112840467,26.936359151455353,65.91815320041972,1028
34017001300,82607,305,452,553,520,279,34.16370106761566,33.14009661835749,56.12588984638441,562
34017002800,58750,642,845,864,1126,556,5.691056910569105,20.42285200179937,59.63337788810388,861
34017004200,42574,517,1010,866,757,135,43.81290704558911,24.516908212560388,42.54448762528124,1689
34017004700,61827,203,584,226,526,393,30,24.03027436140019,44.56386936750724,370
34017000100,70969,724,1200,541,1233,644,27.051177904142975,44.6319018404908,72.84852914306596,1231
34017000500,73322,369,699,719,609,320,36.17245005257624,34.03247631935047,74.31854623196152,951
34017002900,51936,218,475,463,815,554,22.12121212121212,29.614035087719298,60.654779304296994,660
34017004000,75976,457,1438,727,1254,236,38.17980022197558,43.584070796460175,63.8739431206764,901
34017006000,45464,395,1054,954,196,128,62.23849372384937,26.420260095824776,32.12435233160622,956
34017000400,62750,404,515,478,747,341,18.530701754385966,49.84662576687116,71.37692075926483,912
34017001100,72476,347,784,915,1002,485,28.27324478178368,38.1837493361657,59.79404031551271,1054
34017001701,62148,289,689,567,876,454,28.604832424006236,29.415715245130958,60.68608094768015,1283
34017006400,118125,106,239,334,838,916,13.793103448275861,26.804123711340207,33.26923076923077,348
34017006500,71394,157,230,368,463,348,39.69631236442516,34.858812074001946,38.40503672612802,461
34017000902,70223,658,693,688,1499,990,26.480086114101187,23.167044595616023,66.91202872531419,929
34017006600,99091,88,168,111,446,168,2.4475524475524475,52.594339622641506,72.58687258687259,286
34017006700,21865,317,792,418,218,40,51.653261840929396,12.427022518765638,48.83234576507494,1119
34017006800,46133,471,908,606,273,111,60.56338028169014,29.968203497615264,40.81689358155043,1065
34017006900,NA,0,13,8,16,7,59.09090909090909,59.09090909090909,52.17391304347826,22
34017007000,115227,455,596,505,1287,1019,15.441176470588236,19.573283858998145,41.05123087159016,544
34017007100,69318,226,395,454,812,362,1.2738853503184715,22.66982622432859,49.43100995732574,471
34017007200,167045,173,175,184,739,657,1.3157894736842104,49.152542372881356,40.67487460100319,456
34017007300,160714,28,13,159,1266,1146,1.607717041800643,22.082228116710876,35.300709749719836,311
34017007400,182881,35,229,217,1896,1881,14.887640449438203,20.24661893396977,35.39766702014846,712
34017007500,110927,195,583,521,1830,1752,17.168949771689498,20.50524934383202,40.252454417952315,1095
34017007600,191691,67,200,400,2604,4032,2.366863905325444,20.30316949931098,58.085133580467854,845
34017007700,149127,47,213,301,2336,4211,5.088265835929388,15.398758905998623,73.87366192212681,963
34017007800,53125,222,323,156,630,308,53.16455696202531,1.0141987829614605,44.91803278688525,316
34017005600,55125,416,1014,565,582,118,32.66550522648083,40.64056939501779,42.25352112676056,1148
34017004101,62618,662,1065,738,1085,700,36.23011015911873,31.372549019607842,57.03958069763239,1634
34017004500,36026,618,1047,693,309,188,41.86822351959967,30.54156171284635,43.26010983524713,1199
34017005300,44052,379,799,518,242,138,57.42379547689283,41.44620811287478,30.61941251596424,1017
34017002000,55625,448,566,362,1152,592,23.72322899505766,7.84431137724551,74.4943525085369,607
34017003000,40060,311,515,372,540,253,31.455399061032864,9.550561797752808,58.925686591276246,426
34017005900,80534,1053,1264,1153,1661,476,42.99698795180723,51.119104716227014,49.18099918099918,1328
34017006300,45625,517,1230,714,360,277,34.125475285171106,34.89042675893887,45.97914252607184,1052
34017005200,42817,456,956,580,507,146,62.430500397140584,19.84687868080094,27.419354838709676,1259
34017004600,39129,531,548,332,214,113,49.21875,24.225028702640643,63.33471588552469,768
34017004800,55519,385,966,466,768,274,32.82352941176471,39.93265993265993,57.98799657044869,850
34017004900,58550,238,1034,602,700,259,57.8005115089514,35.939643347050755,49.23898531375167,782
34017000300,54638,479,680,607,622,318,21.003963011889034,32.59633607075173,61.53034300791557,757
34017000800,75648,317,686,479,769,487,30,29.922279792746114,52.06435944140863,540
34017001000,69375,176,349,256,519,231,17.391304347826086,26.64796633941094,67.71488469601678,391
34017001800,33162,418,683,389,790,427,26.155717761557177,10.53627760252366,80.55251641137856,822
34017001202,41875,238,214,197,227,79,32.5,20.58287795992714,62.432223082881485,240
34017002300,127904,134,148,254,833,751,3.296703296703297,41.83583406884378,33.023049645390074,273
