Geo Point;Geo Shape;intptlat;name;funcstat;intptlon;namelsad;geoid;awater;gid;countyfp;mtfcc;tractce;statefp;aland
40.7560012355,-74.0515293134;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.057938, 40.754165], [-74.057171, 40.754887], [-74.056283, 40.755731], [-74.055648, 40.756363], [-74.055224, 40.756785], [-74.055166, 40.756845], [-74.05458, 40.757456], [-74.053946, 40.758201], [-74.053343, 40.759016], [-74.052069, 40.760901], [-74.051955, 40.760707], [-74.051849, 40.760566], [-74.051789, 40.760487], [-74.051555, 40.760292], [-74.051264, 40.76013], [-74.051211, 40.76011], [-74.050294, 40.759752], [-74.050036, 40.759652], [-74.049852, 40.75956], [-74.049807, 40.759537], [-74.049743, 40.759488], [-74.049628, 40.759362], [-74.049583, 40.759293], [-74.049472, 40.759123], [-74.049396, 40.758961], [-74.049244, 40.758667], [-74.049171, 40.75859], [-74.049045, 40.758499], [-74.048948, 40.758451], [-74.048922, 40.758442], [-74.04586, 40.75737], [-74.046339, 40.756672], [-74.046749, 40.756073], [-74.045768, 40.755692], [-74.046232, 40.755012], [-74.04664, 40.754413], [-74.047101, 40.753735], [-74.048137, 40.754151], [-74.048164, 40.754124], [-74.048782, 40.753736], [-74.048993, 40.753662], [-74.049061, 40.753638], [-74.049447, 40.753543], [-74.050265, 40.753398], [-74.050828, 40.753299], [-74.051111, 40.753209], [-74.051345, 40.753094], [-74.051852, 40.752849], [-74.052234, 40.752662], [-74.052537, 40.752514], [-74.053078, 40.752259], [-74.053105, 40.752237], [-74.053991, 40.752584], [-74.054838, 40.752915], [-74.055695, 40.75325], [-74.056167, 40.75357], [-74.056662, 40.753789], [-74.056786, 40.753635], [-74.057721, 40.754066], [-74.057938, 40.754165]]]]}";+40.7560012;1;S;-074.0515293;Census Tract 1;34017000100;0;40814;017;G5020;000100;34;515736
40.7089087215,-74.0852231742;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.092646, 40.711658], [-74.092273, 40.711896], [-74.091213, 40.7125], [-74.090814, 40.71274], [-74.090271, 40.713062], [-74.089559, 40.712581], [-74.088993, 40.712198], [-74.088554, 40.711904], [-74.087928, 40.711485], [-74.087545, 40.711228], [-74.085578, 40.709912], [-74.085501, 40.710148], [-74.085288, 40.71049], [-74.085043, 40.710736], [-74.084541, 40.711240000000004], [-74.084446, 40.711332], [-74.083415, 40.710691], [-74.083778, 40.710224], [-74.081484, 40.708731], [-74.078086, 40.70652], [-74.078143, 40.706414], [-74.078438, 40.705868], [-74.078652, 40.705471], [-74.078665, 40.705448], [-74.078856, 40.70525], [-74.079453, 40.704631], [-74.080389, 40.705328], [-74.083287, 40.707241], [-74.083954, 40.706691], [-74.084677, 40.706097], [-74.086291, 40.70713], [-74.086165, 40.707282], [-74.087242, 40.707995], [-74.089842, 40.709719], [-74.091515, 40.710874], [-74.092706, 40.711616], [-74.092646, 40.711658]]]]}";+40.7089087;52;S;-074.0852230;Census Tract 52;34017005200;0;41576;017;G5020;005200;34;376346
40.7292291052,-74.031668568;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.043788, 40.736137], [-74.043451, 40.736182], [-74.042931, 40.736251], [-74.042794, 40.736031], [-74.042333, 40.735937], [-74.040436, 40.736302], [-74.038762, 40.736404], [-74.036852, 40.735828], [-74.035284, 40.735301], [-74.033688, 40.734811], [-74.033532, 40.734763], [-74.032952, 40.734584], [-74.032525, 40.734453], [-74.032261, 40.734372], [-74.032048, 40.734287], [-74.031807, 40.734192], [-74.031236, 40.733965], [-74.030525, 40.733683], [-74.030304, 40.733562], [-74.030038, 40.733372], [-74.029509, 40.733035], [-74.022888, 40.731061], [-74.020405, 40.730321], [-74.020724, 40.729016], [-74.020775, 40.728811], [-74.021104, 40.727468], [-74.021117, 40.727417], [-74.021516, 40.725448], [-74.021561, 40.725218], [-74.021588, 40.725088], [-74.021961, 40.723586], [-74.029535, 40.724136], [-74.035851, 40.724344], [-74.035813, 40.724434], [-74.036105, 40.724459], [-74.036928, 40.72453], [-74.037736, 40.724599], [-74.038701, 40.724681], [-74.039086, 40.724733], [-74.03912, 40.724737], [-74.039732, 40.724916], [-74.040003, 40.725006], [-74.040457, 40.725056], [-74.040338, 40.725804], [-74.040233, 40.726463], [-74.04002, 40.727924], [-74.039916, 40.728654], [-74.039832, 40.729227], [-74.039691, 40.730105], [-74.039582, 40.730787], [-74.039462, 40.73154], [-74.039359, 40.732214], [-74.039249, 40.732936], [-74.03905, 40.734258], [-74.03908, 40.734273], [-74.039454, 40.734338], [-74.040041, 40.734415], [-74.040487, 40.734436], [-74.040676, 40.734455], [-74.041042, 40.734492], [-74.042202, 40.734772], [-74.04397, 40.734936], [-74.043788, 40.736137]]]]}";+40.7301369;77;S;-074.0303464;Census Tract 77;34017007700;694983;42068;017;G5020;007700;34;1010012
40.7084735324,-74.0626129837;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.072488, 40.702406], [-74.071757, 40.702726], [-74.070704, 40.703187], [-74.070417, 40.703322], [-74.070128, 40.703461], [-74.070184, 40.703507], [-74.070274, 40.703575], [-74.070447, 40.703726], [-74.071041, 40.704223999999996], [-74.071815, 40.704874], [-74.069451, 40.706582], [-74.067186, 40.708214], [-74.065728, 40.70926], [-74.064936, 40.709831], [-74.063658, 40.710714], [-74.063422, 40.710876999999996], [-74.062625, 40.711451], [-74.061453, 40.712297], [-74.060231, 40.713178], [-74.059727, 40.713541], [-74.059023, 40.714034], [-74.057814, 40.714879], [-74.056747, 40.715642], [-74.056578, 40.715763], [-74.056149, 40.71607], [-74.055867, 40.716272000000004], [-74.055742, 40.715939], [-74.054817, 40.714065], [-74.054567, 40.713558], [-74.054341, 40.712814], [-74.054334, 40.712712], [-74.054296, 40.712173], [-74.054482, 40.711442], [-74.054598, 40.711151], [-74.054718, 40.710849], [-74.054865, 40.710648], [-74.055163, 40.710239], [-74.055401, 40.709914], [-74.056012, 40.70937], [-74.056495, 40.709115], [-74.05726, 40.708712], [-74.058678, 40.708009], [-74.05888, 40.70791], [-74.059412, 40.707638], [-74.059661, 40.707511], [-74.061661, 40.706405], [-74.0626, 40.705908], [-74.063815, 40.705257], [-74.064445, 40.704882], [-74.064998, 40.704332], [-74.065411, 40.703921], [-74.066664, 40.702675], [-74.067157, 40.702184], [-74.067421, 40.701921], [-74.067923, 40.701499], [-74.068518, 40.700999], [-74.068728, 40.700866], [-74.068921, 40.701025], [-74.069602, 40.701577], [-74.06965, 40.701605], [-74.069825, 40.70171], [-74.070063, 40.701825], [-74.070287, 40.701919], [-74.070631, 40.701995], [-74.071414, 40.702169], [-74.072278, 40.70236], [-74.072488, 40.702406]]]]}";+40.7084735;47;S;-074.0626134;Census Tract 47;34017004700;0;41574;017;G5020;004700;34;886317
40.7260848291,-74.0886813409;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.098539, 40.727282], [-74.098497, 40.727361], [-74.0947, 40.73447], [-74.093788, 40.73424], [-74.093534, 40.734222], [-74.093487, 40.734214], [-74.085798, 40.730767], [-74.085221, 40.730507], [-74.085152, 40.730478], [-74.084128, 40.73003], [-74.082452, 40.729278], [-74.081641, 40.728913], [-74.080868, 40.728565], [-74.080828, 40.728547], [-74.081387, 40.727838], [-74.08187, 40.727226], [-74.081715, 40.727156], [-74.081886, 40.726901], [-74.080417, 40.726193], [-74.079847, 40.72574], [-74.080077, 40.72537], [-74.079193, 40.724973], [-74.07822, 40.724536], [-74.078259, 40.72449], [-74.078922, 40.723722], [-74.079456, 40.723124], [-74.08009, 40.722431], [-74.080655, 40.721802], [-74.080698, 40.721745], [-74.081357, 40.720872], [-74.081798, 40.720318], [-74.081949, 40.72014], [-74.082351, 40.719669], [-74.082438, 40.719574], [-74.082966, 40.718996], [-74.083498, 40.718512], [-74.083633, 40.718382], [-74.083703, 40.718315], [-74.084184, 40.717853], [-74.084561, 40.717461], [-74.084746, 40.717269], [-74.088405, 40.719246], [-74.088428, 40.719259], [-74.091753, 40.721013], [-74.091371, 40.721677], [-74.090874, 40.722543], [-74.091097, 40.722629], [-74.091171, 40.722677], [-74.091358, 40.722758], [-74.093997, 40.723896], [-74.096657, 40.725016], [-74.099086, 40.726101], [-74.098539, 40.727282]]]]}";+40.7291273;40;S;-074.0915582;Census Tract 40;34017004000;183690;41571;017;G5020;004000;34;1564834
40.7198114469,-74.0489344785;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.050839, 40.719561], [-74.050488, 40.720234], [-74.050118, 40.720941], [-74.049788, 40.721572], [-74.04976, 40.721626], [-74.048197, 40.721139], [-74.046689, 40.720669], [-74.046709, 40.720631], [-74.047053, 40.719984], [-74.047438, 40.719286], [-74.047808, 40.718617], [-74.048148, 40.717989], [-74.049671, 40.718475], [-74.051171, 40.718955], [-74.050839, 40.719561]]]]}";+40.7198114;35;S;-074.0489345;Census Tract 35;34017003500;0;41570;017;G5020;003500;34;89372
40.7188225221,-74.094777864;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.103772, 40.718722], [-74.100044, 40.724593], [-74.099086, 40.726101], [-74.096657, 40.725016], [-74.093997, 40.723896], [-74.091358, 40.722758], [-74.091171, 40.722677], [-74.091097, 40.722629], [-74.090874, 40.722543], [-74.091371, 40.721677], [-74.091753, 40.721013], [-74.088428, 40.719259], [-74.088405, 40.719246], [-74.084746, 40.717269], [-74.085343, 40.716723], [-74.085516, 40.71658], [-74.085568, 40.716542], [-74.085987, 40.716236], [-74.086351, 40.715972], [-74.086641, 40.71576], [-74.086721, 40.715703], [-74.087012, 40.71548], [-74.087304, 40.715256], [-74.087856, 40.714834], [-74.088032, 40.714701], [-74.088335, 40.714473], [-74.088612, 40.714244], [-74.08887, 40.714031], [-74.089268, 40.713703], [-74.089434, 40.713573], [-74.090028, 40.713208], [-74.090271, 40.713062], [-74.090814, 40.71274], [-74.091213, 40.7125], [-74.092273, 40.711896], [-74.092499, 40.712049], [-74.09549, 40.714067], [-74.095515, 40.714084], [-74.096417, 40.714579], [-74.096506, 40.714613], [-74.096654, 40.714701], [-74.09676, 40.714764], [-74.096816, 40.714797], [-74.09831, 40.715684], [-74.101716, 40.717738], [-74.101674, 40.717768], [-74.101595, 40.717752], [-74.10158, 40.717884], [-74.101592, 40.717995], [-74.103774, 40.718694], [-74.103772, 40.718722]]]]}";+40.7205537;48;S;-074.0956407;Census Tract 48;34017004800;305932;41539;017;G5020;004800;34;942056
40.7137145231,-74.0849328502;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.090028, 40.713208], [-74.089434, 40.713573], [-74.089268, 40.713703], [-74.08887, 40.714031], [-74.088612, 40.714244], [-74.088335, 40.714473], [-74.088032, 40.714701], [-74.087856, 40.714834], [-74.087304, 40.715256], [-74.087012, 40.71548], [-74.086721, 40.715703], [-74.086641, 40.71576], [-74.086351, 40.715972], [-74.085987, 40.716236], [-74.085568, 40.716542], [-74.085516, 40.71658], [-74.085343, 40.716723], [-74.084746, 40.717269], [-74.084561, 40.717461], [-74.083874, 40.717095], [-74.082676, 40.716456], [-74.081742, 40.715958], [-74.079886, 40.714968], [-74.080144, 40.714734], [-74.080229, 40.714645], [-74.080519, 40.714338], [-74.080792, 40.714012], [-74.081362, 40.713334], [-74.081517, 40.713133], [-74.081645, 40.712968], [-74.081807, 40.712759], [-74.082067, 40.712426], [-74.082291, 40.712137], [-74.082503, 40.711865], [-74.082816, 40.711461], [-74.082954, 40.711284], [-74.083415, 40.710691], [-74.084446, 40.711332], [-74.084541, 40.711240000000004], [-74.085043, 40.710736], [-74.085288, 40.71049], [-74.085501, 40.710148], [-74.085578, 40.709912], [-74.087545, 40.711228], [-74.087928, 40.711485], [-74.088554, 40.711904], [-74.088993, 40.712198], [-74.089559, 40.712581], [-74.090271, 40.713062], [-74.090028, 40.713208]]]]}";+40.7137145;49;S;-074.0849329;Census Tract 49;34017004900;0;41575;017;G5020;004900;34;369559
40.7333187281,-74.0621588767;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.066731, 40.735782], [-74.065003, 40.735575], [-74.064933, 40.735567], [-74.064489, 40.735514], [-74.063122, 40.73535], [-74.060295, 40.734986], [-74.059263, 40.734854], [-74.05802, 40.733275], [-74.058088, 40.733237], [-74.058524, 40.733], [-74.059449, 40.732498], [-74.059602, 40.7326], [-74.059701, 40.732345], [-74.059852, 40.732068], [-74.060036, 40.731841], [-74.060084, 40.731772], [-74.060454, 40.731281], [-74.060671, 40.731092], [-74.060902, 40.730834], [-74.061092, 40.730622], [-74.061172, 40.730533], [-74.061205, 40.73049], [-74.061257, 40.730423], [-74.062158, 40.730524], [-74.063128, 40.730629], [-74.063233, 40.730641], [-74.064141, 40.730741], [-74.064284, 40.730932], [-74.064113, 40.731723], [-74.064118, 40.731745], [-74.063861, 40.732048], [-74.063384, 40.732609], [-74.06392, 40.733059], [-74.064334, 40.733419], [-74.064868, 40.733884], [-74.065022, 40.734018], [-74.065271, 40.734235], [-74.0659, 40.73474], [-74.066161, 40.734949], [-74.066445, 40.735127], [-74.066914, 40.735398], [-74.066731, 40.735782]]]]}";+40.7333187;19;S;-074.0621589;Census Tract 19;34017001900;0;40827;017;G5020;001900;34;231021
40.6943501698,-74.1000551553;"{""type"": ""MultiPolygon"", ""coordinates"": [[[[-74.106434, 40.697139], [-74.105429, 40.698172], [-74.104214, 40.69955], [-74.103661, 40.700177], [-74.102572, 40.701469], [-74.102271, 40.701825], [-74.101839, 40.702339], [-74.101737, 40.702299], [-74.101379, 40.702086], [-74.101442, 40.701983], [-74.101465, 40.701871], [-74.101434, 40.701754], [-74.101358, 40.701686], [-74.100351, 40.70122], [-74.100488, 40.70083], [-74.100287, 40.700778], [-74.09999, 40.70064], [-74.099978, 40.700634], [-74.099207, 40.699668], [-74.098528, 40.698837], [-74.097585, 40.697681], [-74.097265, 40.697358], [-74.097792, 40.696849], [-74.097846, 40.696797], [-74.09839, 40.696263], [-74.095942, 40.693365], [-74.096019, 40.693279], [-74.094956, 40.692088], [-74.093764, 40.690752], [-74.094006, 40.690623], [-74.094042, 40.690607], [-74.094495, 40.69041], [-74.094802, 40.690276], [-74.09558, 40.689942], [-74.096563, 40.68951], [-74.096985, 40.689047], [-74.097219, 40.688792], [-74.097491, 40.688465], [-74.097688, 40.688229], [-74.098114, 40.687717], [-74.098378, 40.6874], [-74.09867, 40.687078], [-74.098779, 40.686951], [-74.098859, 40.686858], [-74.099794, 40.685772], [-74.099834, 40.685726], [-74.099918, 40.685624], [-74.100077, 40.685914], [-74.100589, 40.686896], [-74.101122, 40.688075], [-74.100948, 40.688284], [-74.101389, 40.689104], [-74.101681, 40.690223], [-74.101745, 40.690579], [-74.101737, 40.690928], [-74.101505, 40.691383], [-74.10139, 40.691612], [-74.101793, 40.693079], [-74.102288, 40.694327], [-74.102586, 40.694902], [-74.102586, 40.695102], [-74.103623, 40.695655], [-74.10515, 40.696425], [-74.105673, 40.696603], [-74.106434, 40.697139]]]]}";+40.6943500;61;S;-074.1000550;Census Tract 61;34017006100;0;40900;017;G5020;006100;34;781972
