GEOID,white,black,indig,asian,othrace,multi,ltnx
34017000100,20.2,3.7,0,34.2,0,3.1,38.8
34017000200,16.2,7.5,0,13.6,1.7,1.1,59.9
34017000300,23.8,6.9,0,14.6,0.3,0,54.5
34017000400,17,8.9,0,36.7,0.4,3.4,33.5
34017000500,20.5,8.9,0,24.1,0.3,1.7,44.6
34017000600,36.5,7.3,0.4,22.1,1.6,1.9,30.2
34017000700,28.6,4,0,25.2,0.6,1.8,39.8
34017000800,37.9,5.9,0,12.6,0,1.6,42
34017000902,24.2,5.5,0,48.7,2.7,1.5,17.3
34017001000,21.2,2.6,0,39.6,1.7,0.2,34.7
34017001100,30.4,3.7,0,23.3,0.1,1.3,41.2
34017001201,10,3.4,0.4,49.7,0.5,6,30
34017001202,12.3,12.9,1.2,22,0,2.7,48.9
34017001300,25.2,6.5,0,11.9,3.7,2.5,50.2
34017001400,20.5,5.4,0,23.3,1.2,2.1,47.5
34017001701,15.9,19.4,0,27.2,0.5,4.5,32.4
34017001800,19.2,8.4,0,39.9,0,1.8,30.6
34017001900,14.3,8.2,0.9,70.2,0,1.1,5.3
34017002000,19.9,3.1,0.9,42.2,0.9,1.3,31.8
34017002200,58.3,3.9,0,15.7,0,2.8,19.3
34017002300,43,10.6,0,24.7,0.7,5.1,16
34017002400,60.3,7.9,0.5,14.1,0.4,4,12.7
34017002700,16.9,15.7,0.7,34.2,0,2.8,29.7
34017002800,37.3,12.4,1.1,25.2,0.6,2.8,20.7
34017002900,34,8.7,0,28.3,0,1.5,27.5
34017003000,24.6,15.8,0.2,22.9,0.8,0,35.8
34017003100,24.5,16.3,0,34.3,0,1.3,23.6
34017003500,42.9,4.2,0,7.1,0,2.6,43.2
34017004000,8.2,18.9,0,41,4,3.4,24.4
34017004101,19.9,31.2,0,15.7,0,3,30.1
34017004102,12.4,55.2,0,5.1,0.8,5,21.6
34017004200,7.8,43.6,0,9,1.9,0.4,37.3
34017004300,18.2,29.6,0,4.9,0.2,4.9,42.2
34017004400,2.3,67.1,0,3.1,1,1.3,25.3
34017004500,8,56.4,0.7,1.3,0,0,33.7
34017004600,9.1,27.3,0,1.5,0,0.5,61.7
34017004700,31.3,20.8,0,4.3,1.2,1,41.3
34017004800,18.2,30.2,1,23.8,3,1,22.8
34017004900,7.3,42.3,1.4,23.2,0.2,0.9,24.6
34017005200,15.4,59.2,0,5.9,0,0.4,19.1
34017005300,4,71.7,0,0.1,0.4,0.8,23
34017005400,10.8,28.6,0,37.8,0,3,19.8
34017005500,7.2,70.1,0,2.2,0,0,20.5
34017005600,7,41.6,0,18.1,0.7,0.8,31.9
34017005801,3.4,51.2,0,1.9,0,1.3,42.2
34017005802,48.2,2.2,0,25.9,1,5.9,16.8
34017005900,17.1,23.5,0,38.1,1.7,2.8,16.8
34017006000,1.2,59.7,0,4.8,4.2,1.6,28.4
34017006100,22.3,31.4,1.4,13.8,2.4,4.7,24
34017006200,5.6,41.7,0,10.8,4.7,4.2,32.9
34017006300,6.3,39,0.2,3.5,0.8,2.3,48
34017006400,49.7,5.6,0,16.6,0,4.3,23.8
34017006500,33.8,9,1.8,12.9,0.4,11.9,30.1
34017006600,12.1,2.3,0,76.9,0,1.5,7.1
34017006700,9.4,42.3,0,0.2,0,2.2,45.9
34017006800,4.5,57.9,0.5,5.1,0,5.1,26.8
34017006900,61.8,0,0,0,0,5.9,32.4
34017007000,29.5,11.1,0,29.9,0.6,2.7,26.2
34017007100,26.1,8.1,0,30.2,2,3.6,30
34017007200,44.4,7,0,26.7,1,1.1,19.9
34017007300,46.2,2.3,0,37.8,0.5,4.1,9.1
34017007400,52.7,5.7,0,26.1,0,4.6,10.9
34017007500,37.4,7.9,0,33.5,0.4,3.6,17.2
34017007600,35.6,1.9,1,49.6,0,3.5,8.3
34017007700,20.1,2,0,69.4,0.4,3.1,4.9
34017007800,39.5,13.4,0,18.9,0,1.6,26.6
34017980100,NA,NA,NA,NA,NA,NA,NA
